TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_DEFAULT,PROCESSED
SAT_ORDERTYPE,LASTUSEDDATETIME,DATETIME,,0
SAT_ORDERTYPE,LOCATIONID,"NUMERIC(32,6)",,0
SAT_ORDERTYPE,MASTERALIAS,"NUMERIC(32,6)",,0
SAT_ORDERTYPE,NAME,VARCHAR(4000),,0
SAT_ORDERTYPE,NAMEMASTER,VARCHAR(4000),,0
SAT_ORDERTYPE,ORDERTYPEID,"NUMERIC(32,6)",,0
SAT_ORDERTYPE,ORDERTYPEMASTERID,"NUMERIC(32,6)",,0
SAT_ORDERTYPE,ORDERTYPEPOSREF,"NUMERIC(32,6)",,0
SAT_ORDERTYPE,ORDERTYPEREPORTID,"NUMERIC(32,6)",,0
SAT_ORDERTYPE,ORGANIZATIONID,"NUMERIC(32,6)",,0
SAT_ORDERTYPE,REPORTFLAG,"NUMERIC(32,6)",,0
SAT_ORDERTYPE,TEMPFLAG,"NUMERIC(32,6)",,0
SAT_POSTX,CALC_COST,"NUMERIC(32,6)",,0
SAT_POSTX,CHECK_TOTAL,"NUMERIC(32,6)",,0
SAT_POSTX,CLOSE_TIME,DATETIME,,0
SAT_POSTX,DISCOUNT_TOTAL,"NUMERIC(32,6)",,0
SAT_POSTX,GUEST_COUNT,"NUMERIC(32,6)",,0
SAT_POSTX,ITEM_COUNT,"NUMERIC(32,6)",,0
SAT_POSTX,NET_TOTAL,"NUMERIC(32,6)",,0
SAT_POSTX,OPEN_TIME,DATETIME,,0
SAT_POSTX,ORDER_TIME,VARCHAR(4000),,0
SAT_POSTX,ORDER_TYPE,VARCHAR(4000),,0
SAT_POSTX,POSTX_DATE,DATETIME,,0
SAT_POSTX,POSTX_ID,VARCHAR(4000),,0
SAT_POSTX,POS_TERMINAL,VARCHAR(4000),,0
SAT_POSTX,SERVICE_CHARGE_TOTAL,"NUMERIC(32,6)",,0
SAT_POSTX,STORE_HUB_ID,VARCHAR(4000),,0
SAT_POSTX,TABLE_NO,VARCHAR(4000),,0
SAT_POSTX,TAX_TOTAL,"NUMERIC(32,6)",,0
SAT_POSTX,CHECK_COUNT,"NUMERIC(32,6)",,0
SAT_POSTX,INFO,VARCHAR(4000),,0
SAT_POSTX,REFERENCE,VARCHAR(4000),,0
SAT_POSTX,TIP_TOTAL,"NUMERIC(32,6)",,0
SAT_PRODUCT,ALIGN,"NUMERIC(32,6)",,0
SAT_PRODUCT,CATEGORYGROUPID1,"NUMERIC(32,6)",,0
SAT_PRODUCT,CATEGORYGROUPID2,"NUMERIC(32,6)",,0
SAT_PRODUCT,CATEGORYGROUPID3,"NUMERIC(32,6)",,0
SAT_PRODUCT,CATEGORYGROUPID4,"NUMERIC(32,6)",,0
SAT_PRODUCT,COST,"NUMERIC(32,6)",,0
SAT_PRODUCT,CUSTOMERINFOTYPE,"NUMERIC(32,6)",,0
SAT_PRODUCT,DONOTREPORT,"NUMERIC(32,6)",,0
SAT_PRODUCT,EFFECTIVEFROM,DATETIME,,0
SAT_PRODUCT,EFFECTIVETO,DATETIME,,0
SAT_PRODUCT,EXTREF1,VARCHAR(4000),,0
SAT_PRODUCT,EXTREF1MASTER,VARCHAR(4000),,0
SAT_PRODUCT,EXTREF2,VARCHAR(4000),,0
SAT_PRODUCT,EXTREF2MASTER,VARCHAR(4000),,0
SAT_PRODUCT,FAMILYGROUPID,"NUMERIC(32,6)",,0
SAT_PRODUCT,FAMILYGROUPMASTERID,"NUMERIC(32,6)",,0
SAT_PRODUCT,FAMILYGROUPNAMEMASTER,VARCHAR(4000),,0
SAT_PRODUCT,FAMILYGROUPREPORTID,"NUMERIC(32,6)",,0
SAT_PRODUCT,LASTUPDATEDATETIME,DATETIME,,0
SAT_PRODUCT,LASTUSEDDATETIME,DATETIME,,0
SAT_PRODUCT,LOCATIONID,"NUMERIC(32,6)",,0
SAT_PRODUCT,MAJORGROUPID,"NUMERIC(32,6)",,0
SAT_PRODUCT,MAJORGROUPMASTERID,"NUMERIC(32,6)",,0
SAT_PRODUCT,MAJORGROUPNAMEMASTER,VARCHAR(4000),,0
SAT_PRODUCT,MAJORGROUPREPORTID,"NUMERIC(32,6)",,0
SAT_PRODUCT,MASTERALIAS,"NUMERIC(32,6)",,0
SAT_PRODUCT,MENUITEMID,"NUMERIC(32,6)",,0
